n_rooms,n_bathrooms,area,zipcode,price
2,2.0,1578,92276,97000
2,2.0,1512,92276,98900
2,2.0,1152,92276,99900
2,1.5,1056,92276,79900
2,2.0,1930,92276,164900
2,2.0,1240,92276,117000
4,2.0,1866,92276,256000
2,2.0,960,92276,61000
2,2.0,1388,92276,167400
2,2.0,1152,92276,97500
2,1.0,960,92276,63500
3,2.0,1200,92276,225000
2,2.0,1440,92276,77000
2,2.0,1248,92276,114500
2,2.0,1152,92276,96500
2,2.0,960,92276,79900
3,2.0,1397,92276,248500
2,2.0,1248,92276,117500
2,2.0,1248,92276,79900
2,2.0,1344,92276,84900
2,2.0,1440,92276,84900
3,2.5,2644,92276,379500
2,2.0,1020,92276,74900
2,2.0,1600,92276,147000
2,2.0,2024,92276,214900
2,1.0,780,92276,67900
3,2.0,1397,92276,199000
2,2.0,1544,92276,124900
2,2.0,1368,92276,69800
2,2.0,1624,92276,185000
1,1.5,1440,92276,87500
2,2.0,1840,92276,160000
3,2.0,1454,92276,122500
2,2.0,1040,92276,67900
2,2.0,1281,92276,139000
2,2.0,1152,92276,84900
2,2.0,1152,92276,99000
2,2.0,1536,92276,69900
2,1.0,960,92276,49900
2,2.0,1440,92276,154500
2,2.0,1344,92276,129900
3,2.0,1507,92276,235000
3,2.0,1766,92276,129000
2,2.0,1440,92276,83900
2,2.0,1940,92276,129500
3,2.0,2971,93446,2395000
2,2.0,1468,92276,125000
2,3.0,1280,92276,69900
2,2.0,960,92276,69500
2,2.0,1640,92276,0
2,2.0,1056,92276,0
2,2.0,1344,92276,0
3,2.0,1806,92276,0
2,2.0,1344,92276,0
2,2.0,1120,92276,0
2,2.0,1344,92276,0
3,2.0,1376,92276,0
3,2.0,1440,92276,0
2,2.0,1486,92276,0
3,2.0,1560,92276,0
2,2.0,1440,92276,0
2,2.0,1722,92276,174500
2,2.0,1344,92276,139000
2,2.0,1248,92276,50000
2,2.0,1440,92276,94900
2,2.0,1020,92276,42900
2,1.0,1000,92276,67000
2,2.0,1440,92276,99900
2,2.0,1680,92276,69500
2,2.0,1440,92276,99000
2,2.0,1440,92276,110000
4,3.0,2454,93510,5858000
3,2.0,2346,93510,557000
4,4.0,3254,93510,674900
3,2.0,1448,93510,349000
3,2.0,1734,93510,265000
4,3.5,3381,93510,725000
4,2.0,2272,93510,559000
3,2.0,3326,93510,549000
3,2.0,1508,93510,449000
4,3.0,3631,93510,699900
3,2.5,2824,93510,569000
4,2.0,1966,93510,530000
3,2.0,1387,93510,395000
3,3.0,2522,93510,705000
3,2.0,2095,93510,479000
3,2.0,1932,93510,309900
4,3.0,3624,93510,698777
3,3.0,2848,93510,547900
3,2.0,1152,93510,425000
4,3.0,1625,93510,639000
4,2.0,1717,93510,494000
4,4.0,3220,93510,699000
5,3.5,3342,93510,639000
3,3.0,2800,93510,630000
3,3.0,2362,93510,541000
3,2.0,2061,93510,529000
4,4.0,3522,93510,680000
2,1.0,1320,93510,520000
3,3.0,2356,93510,710000
3,3.0,2808,93510,599999
2,2.0,1059,93510,445000
4,3.0,2774,93510,599500
3,2.5,1991,93510,515000
4,4.0,3030,93510,759000
4,2.0,1916,93510,549950
6,5.0,4090,93510,859000
3,2.0,1400,93446,139900
3,2.0,1939,93446,575000
4,3.0,2118,93446,489900
3,2.0,1940,93446,530000
10,6.0,4188,93446,629000
3,1.5,1080,93446,325000
3,2.0,1170,93446,235000
3,3.0,2390,93446,769000
3,2.0,1469,93446,299900
4,3.0,1496,93446,515000
4,2.5,2699,93446,629000
3,3.0,2136,93446,689000
5,2.0,2544,93446,599000
4,3.5,2090,93446,499000
2,2.0,1248,93446,175000
4,4.0,4600,93446,1250000
3,2.0,1712,93446,310000
3,2.0,1920,93446,625000
3,2.0,1705,93446,499500
2,2.0,1742,93446,975000
4,3.5,3101,93446,895000
2,2.0,1056,93446,179900
2,2.0,1190,93446,739900
3,2.0,1410,93446,330000
3,2.0,1822,93446,510000
3,2.0,2198,93446,625000
2,2.0,1088,93446,280000
2,2.0,1088,93446,265000
6,5.5,5000,93446,2200000
2,2.0,1088,93446,275000
2,2.0,900,93446,125000
2,2.0,1538,93446,699500
3,2.0,1640,93446,425000
3,2.0,2108,93446,439000
2,1.0,854,93446,179000
4,3.0,2617,93446,579500
6,4.5,4386,93446,759000
3,2.0,1570,93446,435000
2,2.0,1257,93446,380000
4,2.0,2072,93446,429900
2,2.0,2213,93446,585000
3,2.5,1500,93446,319000
4,4.0,3000,93446,1495000
3,2.0,2330,93446,599900
3,2.5,1339,93446,344900
3,2.0,1472,93446,309995
4,4.0,2681,93446,572000
3,2.5,1935,92802,695000
3,2.0,1471,92802,525000
3,2.0,1248,92802,78000
3,1.5,1214,92802,424900
4,3.0,1882,92802,825000
2,2.5,987,92802,475000
4,3.0,1606,92802,850000
3,2.5,1554,92802,409900
3,2.5,1717,92802,540000
4,2.0,1475,94531,385000
3,2.0,1052,94531,195000
4,3.0,2353,94531,458000
4,2.5,2422,94531,468000
3,2.5,2650,94531,458000
4,2.5,1831,94531,389000
4,2.0,2334,94531,460000
5,3.0,2179,94531,430000
4,2.5,1662,94531,329900
4,3.0,1765,94531,349900
3,2.0,2012,94531,454999
7,4.0,3871,94531,569950
5,3.0,3679,94531,525000
4,2.5,1794,94531,380000
4,3.5,3420,94531,550000
4,3.0,2506,94531,449950
4,2.5,2236,94531,495000
5,2.0,2066,94531,399900
4,3.5,9536,94531,460000
3,2.0,2014,94531,407000
4,3.0,2312,94531,419000
5,3.0,3796,94531,615000
